"year","respondents","variables","size_mb"
1985,25221,101,0.8
1986,34395,109,1.1
1987,50081,117,1.8
1988,56448,153,2.2
1989,66867,163,2.6
1990,81557,194,3.5
1991,87846,181,3.7
1992,96213,182,4
1993,102263,198,4
1994,105853,210,4.6
1995,113934,213,4.6
1996,124085,264,5.9
1997,135582,269,6
1998,149342,327,7.8
1999,159989,282,7.8
2000,184450,290,10
2001,212510,292,11.2
2002,247964,311,15
2003,264684,295,17.1
2004,303822,294,15.8
2005,356112,326,23.1
2006,355710,303,22.4
2007,430912,363,35.2
2008,414509,292,26.3
2009,432607,406,34.9
2010,451075,398,30.9
2011,506467,455,42.3
2012,475687,360,30.3
2013,491773,337,39.4
2014,464664,280,24.6
2015,441456,331,31.7
2016,486303,276,23.7
2017,450016,359,33.7
2018,437436,276,21.4
2019,418268,343,31.1
2020,401958,280,20.4
2021,438693,304,24.8
2022,445132,329,25.1
2023,433323,351,27.7
2024,457670,302,24.4
